1513357212.242147,22,22,r, 43053 structure.c 595 DATA: Node 22, packet 0 sent; IPI 11000
1513357224.240748,22,22,r, 55059 structure.c 595 DATA: Node 22, packet 1 sent; IPI 11000
1513357236.260714,22,22,r, 67065 structure.c 595 DATA: Node 22, packet 2 sent; IPI 11000
1513357248.250328,22,22,r, 79071 structure.c 595 DATA: Node 22, packet 3 sent; IPI 11000
1513357260.270662,22,22,r, 91077 structure.c 595 DATA: Node 22, packet 4 sent; IPI 11000
1513357272.260603,22,22,r,103082 structure.c 595 DATA: Node 22, packet 5 sent; IPI 11000
1513357284.270302,22,22,r,115088 structure.c 595 DATA: Node 22, packet 6 sent; IPI 11000
1513357296.271377,22,22,r,127094 structure.c 595 DATA: Node 22, packet 7 sent; IPI 11000
1513357308.280582,22,22,r,139100 structure.c 595 DATA: Node 22, packet 8 sent; IPI 11000
1513357320.300539,22,22,r,151106 structure.c 595 DATA: Node 22, packet 9 sent; IPI 11000
1513357332.290417,22,22,r,163112 structure.c 595 DATA: Node 22, packet 10 sent; IPI 11000
1513357344.300554,22,22,r,175118 structure.c 595 DATA: Node 22, packet 11 sent; IPI 11000
1513357356.301331,22,22,r,187124 structure.c 595 DATA: Node 22, packet 12 sent; IPI 11000
1513357368.310463,22,22,r,199130 structure.c 595 DATA: Node 22, packet 13 sent; IPI 11000
1513357380.330909,22,22,r,211136 structure.c 595 DATA: Node 22, packet 14 sent; IPI 11000
1513357220.759078,33,33,r, 51568 structure.c 595 DATA: Node 33, packet 0 sent; IPI 19000
1513357240.264372,33,33,r, 71074 structure.c 595 DATA: Node 33, packet 1 sent; IPI 19000
1513357259.775502,33,33,r, 90580 structure.c 595 DATA: Node 33, packet 2 sent; IPI 19000
1513357279.294574,33,33,r,110086 structure.c 595 DATA: Node 33, packet 3 sent; IPI 19000
1513357298.784519,33,33,r,129592 structure.c 595 DATA: Node 33, packet 4 sent; IPI 19000
1513357318.305248,33,33,r,149097 structure.c 595 DATA: Node 33, packet 5 sent; IPI 19000
1513357337.794490,33,33,r,168603 structure.c 595 DATA: Node 33, packet 6 sent; IPI 19000
1513357357.304135,33,33,r,188109 structure.c 595 DATA: Node 33, packet 7 sent; IPI 19000
1513357376.824783,33,33,r,207615 structure.c 595 DATA: Node 33, packet 8 sent; IPI 19000
1513357212.232831,28,28,r, 43048 structure.c 595 DATA: Node 28, packet 0 sent; IPI 10000
1513357222.740032,28,28,r, 53554 structure.c 595 DATA: Node 28, packet 1 sent; IPI 10000
1513357233.259731,28,28,r, 64060 structure.c 595 DATA: Node 28, packet 2 sent; IPI 10000
1513357243.749699,28,28,r, 74566 structure.c 595 DATA: Node 28, packet 3 sent; IPI 10000
1513357254.269653,28,28,r, 85072 structure.c 595 DATA: Node 28, packet 4 sent; IPI 10000
1513357264.759953,28,28,r, 95577 structure.c 595 DATA: Node 28, packet 5 sent; IPI 10000
