flowID,src,dest,period[s],e2e_deadline[s],net_deadline[s],latency_bound[s],seqn,send_ts[s],rcv_ts[s],latency[s],slack[s],tightness[%]
4-1,4,1,9.0,57.0,8.53328,43.666136,0,10.660356998443604,49.431092977523804,38.7707359790802,18.2292640209198,88.78902401412435
4-1,4,1,9.0,57.0,8.53328,43.666136,1,21.170037031173706,,,,
4-1,4,1,9.0,57.0,8.53328,43.666136,2,31.659101009368896,,,,
4-1,4,1,9.0,57.0,8.53328,43.666136,3,42.16917109489441,,,,
4-1,4,1,9.0,57.0,8.53328,43.666136,4,52.68956899642944,57.96221399307251,5.272644996643066,51.727355003356934,12.07490627666956
4-1,4,1,9.0,57.0,8.53328,43.666136,5,63.17893409729004,65.4208550453186,2.2419209480285645,54.758079051971436,5.134232504631425
4-1,4,1,9.0,57.0,8.53328,43.666136,6,73.69918608665466,75.02962708473206,1.3304409980773926,55.66955900192261,3.0468484733281476
4-1,4,1,9.0,57.0,8.53328,43.666136,7,84.18955898284912,94.21926999092102,10.0297110080719,46.9702889919281,22.969082971005033
4-1,4,1,9.0,57.0,8.53328,43.666136,8,94.70939898490906,100.6078200340271,5.898421049118042,51.10157895088196,13.50799862190243
4-1,4,1,9.0,57.0,8.53328,43.666136,9,105.19897699356079,111.26808500289917,6.069108009338379,50.93089199066162,13.89888954071498
4-1,4,1,9.0,57.0,8.53328,43.666136,10,115.70904898643494,119.7703070640564,4.06125807762146,52.93874192237854,9.300704045857092
4-1,4,1,9.0,57.0,8.53328,43.666136,11,126.21074295043945,130.4307940006256,4.220051050186157,52.77994894981384,9.664356493980042
4-1,4,1,9.0,57.0,8.53328,43.666136,12,136.73086500167847,137.89931392669678,1.1684489250183105,55.83155107498169,2.675869751833115
4-1,4,1,9.0,57.0,8.53328,43.666136,13,147.23897004127502,157.08009600639343,9.841125965118408,47.15887403488159,22.537203578348237
4-1,4,1,9.0,57.0,8.53328,43.666136,14,157.72911500930786,165.60832810401917,7.879213094711304,49.120786905288696,18.044218739004762
4-1,4,1,9.0,57.0,8.53328,43.666136,15,168.249165058136,175.2210509777069,6.971885919570923,50.02811408042908,15.966344994599298
4-1,4,1,9.0,57.0,8.53328,43.666136,16,178.7393410205841,183.7307150363922,4.9913740158081055,52.008625984191895,11.430766431470156
4-1,4,1,9.0,57.0,8.53328,43.666136,17,189.2490210533142,193.34220099449158,4.093179941177368,52.90682005882263,9.373808438597289
4-1,4,1,9.0,57.0,8.53328,43.666136,18,199.7692379951477,206.1095530986786,6.340315103530884,50.659684896469116,14.519982037180673
4-1,4,1,9.0,57.0,8.53328,43.666136,19,210.25923895835876,219.99226999282837,9.733031034469604,47.266968965530396,22.289654927263552
4-1,4,1,9.0,57.0,8.53328,43.666136,20,220.76296401023865,225.32047295570374,4.557508945465088,52.44249105453491,10.437170226065087
4-1,4,1,9.0,57.0,8.53328,43.666136,21,231.26901197433472,238.1288080215454,6.859796047210693,50.14020395278931,15.709647510855307
