1513435424.242017,22,22,r, 43052 structure.c 595 DATA: Node 22, packet 0 sent; IPI 5000
1513435430.240614,22,22,r, 49058 structure.c 595 DATA: Node 22, packet 1 sent; IPI 5000
1513435436.240888,22,22,r, 55064 structure.c 595 DATA: Node 22, packet 2 sent; IPI 5000
1513435442.250375,22,22,r, 61070 structure.c 595 DATA: Node 22, packet 3 sent; IPI 5000
1513435448.271410,22,22,r, 67076 structure.c 595 DATA: Node 22, packet 4 sent; IPI 5000
1513435454.260458,22,22,r, 73081 structure.c 595 DATA: Node 22, packet 5 sent; IPI 5000
1513435460.280756,22,22,r, 79087 structure.c 595 DATA: Node 22, packet 6 sent; IPI 5000
1513435466.270618,22,22,r, 85093 structure.c 595 DATA: Node 22, packet 7 sent; IPI 5000
1513435472.280486,22,22,r, 91099 structure.c 595 DATA: Node 22, packet 8 sent; IPI 5000
1513435478.301302,22,22,r, 97105 structure.c 595 DATA: Node 22, packet 9 sent; IPI 5000
1513435484.290400,22,22,r,103110 structure.c 595 DATA: Node 22, packet 10 sent; IPI 5000
1513435490.310823,22,22,r,109116 structure.c 595 DATA: Node 22, packet 11 sent; IPI 5000
1513435496.300502,22,22,r,115122 structure.c 595 DATA: Node 22, packet 12 sent; IPI 5000
1513435502.310673,22,22,r,121128 structure.c 595 DATA: Node 22, packet 13 sent; IPI 5000
1513435508.310928,22,22,r,127134 structure.c 595 DATA: Node 22, packet 14 sent; IPI 5000
1513435514.320291,22,22,r,133140 structure.c 595 DATA: Node 22, packet 15 sent; IPI 5000
1513435520.340406,22,22,r,139146 structure.c 595 DATA: Node 22, packet 16 sent; IPI 5000
1513435526.330375,22,22,r,145152 structure.c 595 DATA: Node 22, packet 17 sent; IPI 5000
1513435532.350733,22,22,r,151158 structure.c 595 DATA: Node 22, packet 18 sent; IPI 5000
1513435538.340701,22,22,r,157163 structure.c 595 DATA: Node 22, packet 19 sent; IPI 5000
1513435544.350656,22,22,r,163169 structure.c 595 DATA: Node 22, packet 20 sent; IPI 5000
1513435550.370409,22,22,r,169175 structure.c 595 DATA: Node 22, packet 21 sent; IPI 5000
1513435556.360368,22,22,r,175181 structure.c 595 DATA: Node 22, packet 22 sent; IPI 5000
1513435562.380489,22,22,r,181187 structure.c 595 DATA: Node 22, packet 23 sent; IPI 5000
1513435568.370511,22,22,r,187193 structure.c 595 DATA: Node 22, packet 24 sent; IPI 5000
1513435574.380563,22,22,r,193199 structure.c 595 DATA: Node 22, packet 25 sent; IPI 5000
1513435580.400696,22,22,r,199205 structure.c 595 DATA: Node 22, packet 26 sent; IPI 5000
1513435586.390470,22,22,r,205211 structure.c 595 DATA: Node 22, packet 27 sent; IPI 5000
1513435592.414203,22,22,r,211216 structure.c 595 DATA: Node 22, packet 28 sent; IPI 5000
1513435432.757355,33,33,r, 51567 structure.c 595 DATA: Node 33, packet 0 sent; IPI 7000
1513435440.264630,33,33,r, 59073 structure.c 595 DATA: Node 33, packet 1 sent; IPI 7000
1513435447.774246,33,33,r, 66579 structure.c 595 DATA: Node 33, packet 2 sent; IPI 7000
1513435455.294130,33,33,r, 74085 structure.c 595 DATA: Node 33, packet 3 sent; IPI 7000
1513435462.784210,33,33,r, 81591 structure.c 595 DATA: Node 33, packet 4 sent; IPI 7000
1513435470.305166,33,33,r, 89096 structure.c 595 DATA: Node 33, packet 5 sent; IPI 7000
1513435477.794190,33,33,r, 96602 structure.c 595 DATA: Node 33, packet 6 sent; IPI 7000
1513435485.315515,33,33,r,104108 structure.c 595 DATA: Node 33, packet 7 sent; IPI 7000
1513435492.804121,33,33,r,111614 structure.c 595 DATA: Node 33, packet 8 sent; IPI 7000
1513435500.314624,33,33,r,119120 structure.c 595 DATA: Node 33, packet 9 sent; IPI 7000
1513435507.834647,33,33,r,126625 structure.c 595 DATA: Node 33, packet 10 sent; IPI 7000
1513435515.324203,33,33,r,134131 structure.c 595 DATA: Node 33, packet 11 sent; IPI 7000
1513435522.854484,33,33,r,141637 structure.c 595 DATA: Node 33, packet 12 sent; IPI 7000
1513435530.334522,33,33,r,149143 structure.c 595 DATA: Node 33, packet 13 sent; IPI 7000
1513435537.855307,33,33,r,156649 structure.c 595 DATA: Node 33, packet 14 sent; IPI 7000
1513435545.345649,33,33,r,164155 structure.c 595 DATA: Node 33, packet 15 sent; IPI 7000
1513435552.861877,33,33,r,171661 structure.c 595 DATA: Node 33, packet 16 sent; IPI 7000
1513435560.374747,33,33,r,179167 structure.c 595 DATA: Node 33, packet 17 sent; IPI 7000
1513435567.864635,33,33,r,186672 structure.c 595 DATA: Node 33, packet 18 sent; IPI 7000
1513435575.385451,33,33,r,194178 structure.c 595 DATA: Node 33, packet 19 sent; IPI 7000
