1513656990.878972,4,4,r, 53609 structure.c 595 DATA: Node 4, packet 0 sent; IPI 3000
1513656995.360552,4,4,r, 58115 structure.c 595 DATA: Node 4, packet 1 sent; IPI 3000
1513656999.851049,4,4,r, 62621 structure.c 595 DATA: Node 4, packet 2 sent; IPI 3000
1513657004.370979,4,4,r, 67126 structure.c 595 DATA: Node 4, packet 3 sent; IPI 3000
1513657008.860816,4,4,r, 71632 structure.c 595 DATA: Node 4, packet 4 sent; IPI 3000
1513657013.380583,4,4,r, 76138 structure.c 595 DATA: Node 4, packet 5 sent; IPI 3000
1513657017.871052,4,4,r, 80643 structure.c 595 DATA: Node 4, packet 6 sent; IPI 3000
1513657022.380489,4,4,r, 85149 structure.c 595 DATA: Node 4, packet 7 sent; IPI 3000
1513657026.900877,4,4,r, 89655 structure.c 595 DATA: Node 4, packet 8 sent; IPI 3000
1513657031.390580,4,4,r, 94160 structure.c 595 DATA: Node 4, packet 9 sent; IPI 3000
1513657035.911024,4,4,r, 98666 structure.c 595 DATA: Node 4, packet 10 sent; IPI 3000
1513657040.400624,4,4,r,103172 structure.c 595 DATA: Node 4, packet 11 sent; IPI 3000
1513657044.921617,4,4,r,107678 structure.c 595 DATA: Node 4, packet 12 sent; IPI 3000
1513657049.410741,4,4,r,112184 structure.c 595 DATA: Node 4, packet 13 sent; IPI 3000
1513657053.920562,4,4,r,116689 structure.c 595 DATA: Node 4, packet 14 sent; IPI 3000
1513657058.440506,4,4,r,121195 structure.c 595 DATA: Node 4, packet 15 sent; IPI 3000
1513657062.930382,4,4,r,125701 structure.c 595 DATA: Node 4, packet 16 sent; IPI 3000
1513657067.450436,4,4,r,130207 structure.c 595 DATA: Node 4, packet 17 sent; IPI 3000
1513657071.940537,4,4,r,134713 structure.c 595 DATA: Node 4, packet 18 sent; IPI 3000
1513657076.450524,4,4,r,139218 structure.c 595 DATA: Node 4, packet 19 sent; IPI 3000
1513657080.951571,4,4,r,143724 structure.c 595 DATA: Node 4, packet 20 sent; IPI 3000
1513657085.460660,4,4,r,148230 structure.c 595 DATA: Node 4, packet 21 sent; IPI 3000
1513657089.981035,4,4,r,152736 structure.c 595 DATA: Node 4, packet 22 sent; IPI 3000
1513657094.470798,4,4,r,157242 structure.c 595 DATA: Node 4, packet 23 sent; IPI 3000
1513657098.990169,4,4,r,161747 structure.c 595 DATA: Node 4, packet 24 sent; IPI 3000
1513657103.480350,4,4,r,166253 structure.c 595 DATA: Node 4, packet 25 sent; IPI 3000
1513657107.990540,4,4,r,170759 structure.c 595 DATA: Node 4, packet 26 sent; IPI 3000
1513657112.509845,4,4,r,175265 structure.c 595 DATA: Node 4, packet 27 sent; IPI 3000
1513657117.000667,4,4,r,179771 structure.c 595 DATA: Node 4, packet 28 sent; IPI 3000
1513657121.520219,4,4,r,184276 structure.c 595 DATA: Node 4, packet 29 sent; IPI 3000
1513657126.010690,4,4,r,188782 structure.c 595 DATA: Node 4, packet 30 sent; IPI 3000
1513657130.530029,4,4,r,193288 structure.c 595 DATA: Node 4, packet 31 sent; IPI 3000
1513657135.020996,4,4,r,197794 structure.c 595 DATA: Node 4, packet 32 sent; IPI 3000
1513657139.530282,4,4,r,202300 structure.c 595 DATA: Node 4, packet 33 sent; IPI 3000
1513657144.050757,4,4,r,206805 structure.c 595 DATA: Node 4, packet 34 sent; IPI 3000
1513657148.551516,4,4,r,211311 structure.c 595 DATA: Node 4, packet 35 sent; IPI 3000
1513656988.717442,33,33,r, 51514 structure.c 595 DATA: Node 33, packet 0 sent; IPI 3000
1513656993.214528,33,33,r, 56020 structure.c 595 DATA: Node 33, packet 1 sent; IPI 3000
1513656997.735374,33,33,r, 60526 structure.c 595 DATA: Node 33, packet 2 sent; IPI 3000
1513657002.224438,33,33,r, 65032 structure.c 595 DATA: Node 33, packet 3 sent; IPI 3000
1513657006.745747,33,33,r, 69538 structure.c 595 DATA: Node 33, packet 4 sent; IPI 3000
1513657011.234555,33,33,r, 74043 structure.c 595 DATA: Node 33, packet 5 sent; IPI 3000
1513657015.744165,33,33,r, 78549 structure.c 595 DATA: Node 33, packet 6 sent; IPI 3000
1513657020.264735,33,33,r, 83055 structure.c 595 DATA: Node 33, packet 7 sent; IPI 3000
1513657024.754116,33,33,r, 87561 structure.c 595 DATA: Node 33, packet 8 sent; IPI 3000
1513657029.275144,33,33,r, 92067 structure.c 595 DATA: Node 33, packet 9 sent; IPI 3000
1513657033.764354,33,33,r, 96572 structure.c 595 DATA: Node 33, packet 10 sent; IPI 3000
1513657038.285377,33,33,r,101078 structure.c 595 DATA: Node 33, packet 11 sent; IPI 3000
1513657042.774645,33,33,r,105584 structure.c 595 DATA: Node 33, packet 12 sent; IPI 3000
1513657047.284511,33,33,r,110090 structure.c 595 DATA: Node 33, packet 13 sent; IPI 3000
1513657051.805731,33,33,r,114596 structure.c 595 DATA: Node 33, packet 14 sent; IPI 3000
1513657056.294671,33,33,r,119102 structure.c 595 DATA: Node 33, packet 15 sent; IPI 3000
1513657060.814476,33,33,r,123608 structure.c 595 DATA: Node 33, packet 16 sent; IPI 3000
1513657065.304282,33,33,r,128114 structure.c 595 DATA: Node 33, packet 17 sent; IPI 3000
1513657069.814362,33,33,r,132620 structure.c 595 DATA: Node 33, packet 18 sent; IPI 3000
1513657074.334770,33,33,r,137125 structure.c 595 DATA: Node 33, packet 19 sent; IPI 3000
1513657078.824433,33,33,r,141631 structure.c 595 DATA: Node 33, packet 20 sent; IPI 3000
1513657083.345733,33,33,r,146137 structure.c 595 DATA: Node 33, packet 21 sent; IPI 3000
1513657087.834642,33,33,r,150643 structure.c 595 DATA: Node 33, packet 22 sent; IPI 3000
1513657092.344674,33,33,r,155149 structure.c 595 DATA: Node 33, packet 23 sent; IPI 3000
1513657096.847078,33,33,r,159655 structure.c 595 DATA: Node 33, packet 24 sent; IPI 3000
1513657101.354321,33,33,r,164161 structure.c 595 DATA: Node 33, packet 25 sent; IPI 3000
1513657105.878647,33,33,r,168667 structure.c 595 DATA: Node 33, packet 26 sent; IPI 3000
1513657110.364387,33,33,r,173173 structure.c 595 DATA: Node 33, packet 27 sent; IPI 3000
1513657114.874466,33,33,r,177678 structure.c 595 DATA: Node 33, packet 28 sent; IPI 3000
1513657119.374782,33,33,r,182184 structure.c 595 DATA: Node 33, packet 29 sent; IPI 3000
1513657123.884605,33,33,r,186690 structure.c 595 DATA: Node 33, packet 30 sent; IPI 3000
1513657128.387969,33,33,r,191196 structure.c 595 DATA: Node 33, packet 31 sent; IPI 3000
1513657132.894435,33,33,r,195702 structure.c 595 DATA: Node 33, packet 32 sent; IPI 3000
1513657137.415149,33,33,r,200208 structure.c 595 DATA: Node 33, packet 33 sent; IPI 3000
1513657141.904721,33,33,r,204714 structure.c 595 DATA: Node 33, packet 34 sent; IPI 3000
1513657146.414355,33,33,r,209220 structure.c 595 DATA: Node 33, packet 35 sent; IPI 3000
1513656980.178441,15,15,r, 43003 structure.c 595 DATA: Node 15, packet 0 sent; IPI 4000
1513656984.684885,15,15,r, 47508 structure.c 595 DATA: Node 15, packet 1 sent; IPI 4000
1513656989.218725,15,15,r, 52014 structure.c 595 DATA: Node 15, packet 2 sent; IPI 4000
1513656993.697293,15,15,r, 56520 structure.c 595 DATA: Node 15, packet 3 sent; IPI 4000
1513656998.205121,15,15,r, 61026 structure.c 595 DATA: Node 15, packet 4 sent; IPI 4000
1513657002.706998,15,15,r, 65532 structure.c 595 DATA: Node 15, packet 5 sent; IPI 4000
1513657007.215250,15,15,r, 70037 structure.c 595 DATA: Node 15, packet 6 sent; IPI 4000
1513657011.735385,15,15,r, 74543 structure.c 595 DATA: Node 15, packet 7 sent; IPI 4000
1513657016.227593,15,15,r, 79049 structure.c 595 DATA: Node 15, packet 8 sent; IPI 4000
1513657020.746017,15,15,r, 83555 structure.c 595 DATA: Node 15, packet 9 sent; IPI 4000
1513657025.235083,15,15,r, 88061 structure.c 595 DATA: Node 15, packet 10 sent; IPI 4000
1513657029.747050,15,15,r, 92566 structure.c 595 DATA: Node 15, packet 11 sent; IPI 4000
1513657034.266221,15,15,r, 97072 structure.c 595 DATA: Node 15, packet 12 sent; IPI 4000
1513657038.755054,15,15,r,101578 structure.c 595 DATA: Node 15, packet 13 sent; IPI 4000
1513657043.276330,15,15,r,106084 structure.c 595 DATA: Node 15, packet 14 sent; IPI 4000
1513657047.766499,15,15,r,110590 structure.c 595 DATA: Node 15, packet 15 sent; IPI 4000
1513657052.275397,15,15,r,115096 structure.c 595 DATA: Node 15, packet 16 sent; IPI 4000
1513657056.775917,15,15,r,119602 structure.c 595 DATA: Node 15, packet 17 sent; IPI 4000
1513657061.285427,15,15,r,124108 structure.c 595 DATA: Node 15, packet 18 sent; IPI 4000
1513657065.805069,15,15,r,128614 structure.c 595 DATA: Node 15, packet 19 sent; IPI 4000
1513657070.295437,15,15,r,133119 structure.c 595 DATA: Node 15, packet 20 sent; IPI 4000
1513657074.815247,15,15,r,137625 structure.c 595 DATA: Node 15, packet 21 sent; IPI 4000
1513657079.305618,15,15,r,142131 structure.c 595 DATA: Node 15, packet 22 sent; IPI 4000
1513657083.815052,15,15,r,146637 structure.c 595 DATA: Node 15, packet 23 sent; IPI 4000
1513657088.336018,15,15,r,151143 structure.c 595 DATA: Node 15, packet 24 sent; IPI 4000
1513657092.824902,15,15,r,155649 structure.c 595 DATA: Node 15, packet 25 sent; IPI 4000
1513657097.345525,15,15,r,160155 structure.c 595 DATA: Node 15, packet 26 sent; IPI 4000
1513657101.846904,15,15,r,164661 structure.c 595 DATA: Node 15, packet 27 sent; IPI 4000
1513657106.345230,15,15,r,169167 structure.c 595 DATA: Node 15, packet 28 sent; IPI 4000
1513657110.854907,15,15,r,173672 structure.c 595 DATA: Node 15, packet 29 sent; IPI 4000
1513657115.355339,15,15,r,178178 structure.c 595 DATA: Node 15, packet 30 sent; IPI 4000
1513657119.877520,15,15,r,182684 structure.c 595 DATA: Node 15, packet 31 sent; IPI 4000
1513657124.365302,15,15,r,187190 structure.c 595 DATA: Node 15, packet 32 sent; IPI 4000
1513657128.875067,15,15,r,191696 structure.c 595 DATA: Node 15, packet 33 sent; IPI 4000
1513657133.376023,15,15,r,196202 structure.c 595 DATA: Node 15, packet 34 sent; IPI 4000
1513657137.885226,15,15,r,200708 structure.c 595 DATA: Node 15, packet 35 sent; IPI 4000
1513657142.396384,15,15,r,205214 structure.c 595 DATA: Node 15, packet 36 sent; IPI 4000
1513657146.895344,15,15,r,209720 structure.c 595 DATA: Node 15, packet 37 sent; IPI 4000
1513657151.405416,15,15,r,214225 structure.c 595 DATA: Node 15, packet 38 sent; IPI 4000
1513656980.192154,22,22,r, 43000 structure.c 595 DATA: Node 22, packet 0 sent; IPI 4000
1513656984.700388,22,22,r, 47506 structure.c 595 DATA: Node 22, packet 1 sent; IPI 4000
1513656989.190500,22,22,r, 52011 structure.c 595 DATA: Node 22, packet 2 sent; IPI 4000
1513656993.710788,22,22,r, 56517 structure.c 595 DATA: Node 22, packet 3 sent; IPI 4000
1513656998.201224,22,22,r, 61023 structure.c 595 DATA: Node 22, packet 4 sent; IPI 4000
1513657002.710305,22,22,r, 65529 structure.c 595 DATA: Node 22, packet 5 sent; IPI 4000
1513657007.230499,22,22,r, 70035 structure.c 595 DATA: Node 22, packet 6 sent; IPI 4000
1513657011.720166,22,22,r, 74540 structure.c 595 DATA: Node 22, packet 7 sent; IPI 4000
1513657016.240382,22,22,r, 79046 structure.c 595 DATA: Node 22, packet 8 sent; IPI 4000
1513657020.730885,22,22,r, 83552 structure.c 595 DATA: Node 22, packet 9 sent; IPI 4000
1513657025.250633,22,22,r, 88058 structure.c 595 DATA: Node 22, packet 10 sent; IPI 4000
1513657029.740519,22,22,r, 92564 structure.c 595 DATA: Node 22, packet 11 sent; IPI 4000
1513657034.250612,22,22,r, 97070 structure.c 595 DATA: Node 22, packet 12 sent; IPI 4000
1513657038.770719,22,22,r,101575 structure.c 595 DATA: Node 22, packet 13 sent; IPI 4000
1513657043.260433,22,22,r,106081 structure.c 595 DATA: Node 22, packet 14 sent; IPI 4000
1513657047.780136,22,22,r,110587 structure.c 595 DATA: Node 22, packet 15 sent; IPI 4000
1513657052.270544,22,22,r,115093 structure.c 595 DATA: Node 22, packet 16 sent; IPI 4000
1513657056.780204,22,22,r,119599 structure.c 595 DATA: Node 22, packet 17 sent; IPI 4000
1513657061.300849,22,22,r,124105 structure.c 595 DATA: Node 22, packet 18 sent; IPI 4000
1513657065.790297,22,22,r,128611 structure.c 595 DATA: Node 22, packet 19 sent; IPI 4000
1513657070.310683,22,22,r,133117 structure.c 595 DATA: Node 22, packet 20 sent; IPI 4000
1513657074.800604,22,22,r,137623 structure.c 595 DATA: Node 22, packet 21 sent; IPI 4000
1513657079.310312,22,22,r,142128 structure.c 595 DATA: Node 22, packet 22 sent; IPI 4000
1513657083.830507,22,22,r,146634 structure.c 595 DATA: Node 22, packet 23 sent; IPI 4000
1513657088.320157,22,22,r,151140 structure.c 595 DATA: Node 22, packet 24 sent; IPI 4000
1513657092.849618,22,22,r,155646 structure.c 595 DATA: Node 22, packet 25 sent; IPI 4000
1513657097.330198,22,22,r,160152 structure.c 595 DATA: Node 22, packet 26 sent; IPI 4000
1513657101.848994,22,22,r,164658 structure.c 595 DATA: Node 22, packet 27 sent; IPI 4000
