flowID,src,dest,period[s],e2e_deadline[s],net_deadline[s],latency_bound[s],seqn,send_ts[s],rcv_ts[s],latency[s],slack[s],tightness[%]
1,1,2,10,30,3.2142,29.342,0,8.051,20.032,11.981,18.019,40.831
1,1,2,10,30,3.2142,29.342,1,18.051,34.955,16.904,13.096,57.611
1,1,2,10,30,3.2142,29.342,2,28.051,34.955,6.9042,23.096,23.53
1,1,2,10,30,3.2142,29.342,3,38.051,49.879,11.828,18.172,40.31
1,1,2,10,30,3.2142,29.342,4,48.051,64.802,16.751,13.249,57.09
1,1,2,10,30,3.2142,29.342,5,58.051,64.802,6.7513,23.249,23.009
1,1,2,10,30,3.2142,29.342,6,68.051,79.726,11.675,18.325,39.789
1,1,2,10,30,3.2142,29.342,7,78.051,94.649,16.598,13.402,56.569
1,1,2,10,30,3.2142,29.342,8,88.051,94.649,6.5984,23.402,22.488
1,1,2,10,30,3.2142,29.342,9,98.051,109.57,11.522,18.478,39.268
1,1,2,10,30,3.2142,29.342,10,108.05,124.5,16.445,13.555,56.048
1,1,2,10,30,3.2142,29.342,11,118.05,124.5,6.4455,23.555,21.967
2,1,3,10,30,3.2142,29.342,0,4.424,20.292,15.868,14.132,54.078
2,1,3,10,30,3.2142,29.342,1,14.424,35.215,20.791,9.2089,70.858
2,1,3,10,30,3.2142,29.342,2,24.424,35.215,10.791,19.209,36.778
2,1,3,10,30,3.2142,29.342,3,34.424,50.139,15.715,14.285,53.557
2,1,3,10,30,3.2142,29.342,4,44.424,65.062,20.638,9.3618,70.337
2,1,3,10,30,3.2142,29.342,5,54.424,65.062,10.638,19.362,36.256
2,1,3,10,30,3.2142,29.342,6,64.424,79.986,15.562,14.438,53.036
2,1,3,10,30,3.2142,29.342,7,74.424,94.909,20.485,9.5147,69.816
2,1,3,10,30,3.2142,29.342,8,84.424,94.909,10.485,19.515,35.735
2,1,3,10,30,3.2142,29.342,9,94.424,109.83,15.409,14.591,52.515
2,1,3,10,30,3.2142,29.342,10,104.42,124.76,20.332,9.6676,69.295
2,1,3,10,30,3.2142,29.342,11,114.42,124.76,10.332,19.668,35.214
3,1,4,10,30,3.2142,29.342,0,1.949,18.295,16.346,13.654,55.707
3,1,4,10,30,3.2142,29.342,1,11.949,33.218,21.269,8.7309,72.487
3,1,4,10,30,3.2142,29.342,2,21.949,33.218,11.269,18.731,38.407
3,1,4,10,30,3.2142,29.342,3,31.949,48.142,16.193,13.807,55.186
3,1,4,10,30,3.2142,29.342,4,41.949,63.065,21.116,8.8838,71.966
3,1,4,10,30,3.2142,29.342,5,51.949,63.065,11.116,18.884,37.886
3,1,4,10,30,3.2142,29.342,6,61.949,77.989,16.04,13.96,54.665
3,1,4,10,30,3.2142,29.342,7,71.949,92.912,20.963,9.0367,71.445
3,1,4,10,30,3.2142,29.342,8,81.949,92.912,10.963,19.037,37.364
3,1,4,10,30,3.2142,29.342,9,91.949,107.84,15.887,14.113,54.144
3,1,4,10,30,3.2142,29.342,10,101.95,122.76,20.81,9.1896,70.924
